Date,Amount,Name,Category,Subcategory
9/29/2017,-4.99,Spotify,Bills,Subscriptions
10/29/2017,-9.99,Spotify,Bills,Subscriptions
11/21/2017,-17.73,Credit Card Interest Payment,Bills,
11/29/2017,-9.99,Spotify,Bills,Subscriptions
12/22/2017,-20,Credit Card Interest Payment,Bills,
12/29/2017,-9.99,Spotify,Bills,Subscriptions
1/17/2018,-49,Amazon Prime Membership,Bills,Subscriptions
1/22/2018,-19.6,Credit Card Interest Payment,Bills,
1/29/2018,-9.99,Spotify,Bills,Subscriptions
2/19/2018,-19.26,Credit Card Interest Payment,Bills,
2/20/2018,-100,Verizon,Bills,Utilities
2/28/2018,-9.99,Spotify,Bills,Subscriptions
3/11/2018,-14.99,Pop Fit Httpswww.Loyanv,Bills,Subscriptions
3/11/2018,-14.99,Pop Fit Httpswww.Loyanv,Bills,Subscriptions
11/8/2017,-461.5,Hasbrouck Real E WEB PMTS 110817 N7RHC Chante Mack,Bills,Rent
11/30/2017,-463.31,Hasbrouck Real E WEB PMTS 113017 0ZR2D Chante Mack,Bills,Rent
1/3/2018,-461.5,Hasbrouck Real E WEB PMTS 010318 ZTTWG Chante Mack,Bills,Rent
3/1/2018,-491.51,Hasbrouck Real E WEB PMTS 030118 V908L Chante Mack,Bills,Rent
10/5/2017,-461.5,Hasbrouck Real E WEB PMTS 100517 H8GC9 Chante Mack,Bills,Rent
2/6/2018,-461.5,Hasbrouck Real E WEB PMTS 020618 R7Z4K Chante Mack,Bills,Rent
10/3/2017,-4.09,McDonald's,Food,Restaurants
10/10/2017,-13.77,Wegmans,Food,Groceries
10/13/2017,-3.01,Aramark,Food,Groceries
10/16/2017,-2.56,Food Lion,Food,Groceries
10/19/2017,-3.1,Cmsvend*Vend Uva,Food,Groceries
10/23/2017,-22.87,Domino's,Food,Restaurants
11/6/2017,-10.8,Panera Bread,Food,Restaurants
11/8/2017,-3.1,Cmsvend*Vend Uva,Food,Groceries
11/9/2017,-2.46,Aramark,Food,Groceries
11/13/2017,-9,World Of Beer Charlottesvil,Food,Restaurants
11/13/2017,-11.03,Stick Kebob Shop Charlottesvil,Food,Restaurants
11/27/2017,-4.51,Milli Coffee R Charlottesvil,Food,Restaurants
11/28/2017,-6.1,Aramark,Food,Groceries
